product_id,category,brand,price,margin_rate
1000,Grocery,BlueSky,4.2,0.19
1001,Grocery,UrbanX,10.17,0.2
1002,Grocery,Everest,3.41,0.27
1003,Grocery,UrbanX,12.7,0.14
1004,Grocery,UrbanX,13.73,0.15
1005,Grocery,BlueSky,7.89,0.14
1006,Grocery,BlueSky,5.63,0.24
1007,Grocery,Everest,10.76,0.17
1008,Grocery,UrbanX,3.74,0.23
1009,Grocery,Everest,7.74,0.2
1010,Grocery,Prime,8.2,0.23
1011,Grocery,Prime,9.44,0.27
1012,Grocery,UrbanX,12.3,0.16
1013,Grocery,Everest,9.41,0.18
1014,Grocery,BlueSky,3.73,0.13
1015,Grocery,GoodLife,6.82,0.26
1016,Grocery,Everest,11.4,0.22
1017,Grocery,UrbanX,6.05,0.19
1018,Grocery,Prime,8.88,0.12
1019,Grocery,Acme,10.13,0.23
1020,Dairy,BlueSky,8.16,0.15
1021,Dairy,Nova,5.07,0.19
1022,Dairy,Prime,7.24,0.18
1023,Dairy,Acme,8.0,0.19
1024,Dairy,Everest,7.96,0.17
1025,Dairy,UrbanX,4.55,0.11
1026,Dairy,GoodLife,2.55,0.15
1027,Dairy,GoodLife,6.86,0.15
1028,Dairy,Acme,4.07,0.2
1029,Dairy,Everest,8.35,0.21
1030,Dairy,BlueSky,6.94,0.12
1031,Dairy,BlueSky,6.83,0.15
1032,Dairy,GoodLife,4.41,0.18
1033,Dairy,GoodLife,5.6,0.13
1034,Dairy,Everest,7.22,0.15
1035,Dairy,GoodLife,2.6,0.11
1036,Dairy,Prime,4.81,0.22
1037,Dairy,Everest,5.8,0.18
1038,Dairy,Acme,7.09,0.16
1039,Dairy,UrbanX,7.96,0.13
1040,Baby,Everest,23.42,0.29
1041,Baby,Acme,19.62,0.28
1042,Baby,Acme,18.76,0.34
1043,Baby,Acme,35.08,0.18
1044,Baby,Prime,20.26,0.33
1045,Baby,Prime,17.21,0.2
1046,Baby,Everest,20.66,0.27
1047,Baby,Acme,31.65,0.2
1048,Baby,UrbanX,25.62,0.25
1049,Baby,BlueSky,8.89,0.34
1050,Baby,Nova,37.23,0.22
1051,Baby,BlueSky,7.96,0.3
1052,Baby,Everest,19.85,0.2
1053,Baby,UrbanX,21.15,0.32
1054,Baby,Prime,29.71,0.16
1055,Baby,Everest,35.62,0.24
1056,Baby,Prime,22.13,0.22
1057,Baby,GoodLife,8.34,0.21
1058,Beverages,Nova,9.53,0.15
1059,Beverages,BlueSky,3.66,0.22
1060,Beverages,Acme,3.36,0.21
1061,Beverages,GoodLife,11.39,0.13
1062,Beverages,Acme,4.38,0.14
1063,Beverages,BlueSky,8.06,0.14
1064,Beverages,GoodLife,7.38,0.21
1065,Beverages,Nova,9.29,0.14
1066,Beverages,BlueSky,2.38,0.11
1067,Beverages,Everest,7.75,0.19
1068,Beverages,UrbanX,7.79,0.24
1069,Beverages,Acme,7.78,0.15
1070,Beverages,GoodLife,3.09,0.22
1071,Beverages,Nova,4.64,0.24
1072,Beverages,Nova,6.08,0.19
1073,Beverages,UrbanX,6.36,0.13
1074,Beverages,Prime,4.23,0.17
1075,Beverages,Everest,3.68,0.2
1076,Beverages,Nova,5.33,0.16
1077,Beverages,Acme,5.75,0.1
